,heart,sleep,step
2018-06-7 4.0時,66.0,2.0,0.0
2018-06-7 4.25時,66.0,2.0,0.0
2018-06-7 4.5時,68.0,2.0,0.0
2018-06-7 4.75時,69.7,2.0,0.0
2018-06-7 5.0時,68.7,1.3,0.0
2018-06-7 5.25時,71.0,1.3,0.0
2018-06-7 5.5時,77.3,2.0,0.0
2018-06-7 5.75時,71.7,2.0,0.0
2018-06-7 6.0時,83.3,2.3,0.0
2018-06-7 6.25時,80.0,3.0,106.0
2018-06-7 6.5時,76.7,3.0,165.7
2018-06-7 7.0時,84.7,3.0,253.5
2018-06-7 7.25時,83.0,3.0,307.0
2018-06-7 7.5時,77.7,3.0,431.3
2018-06-7 7.75時,81.3,3.0,215.7
2018-06-7 22.0時,81.3,3.0,91.0
2018-06-7 22.25時,95.3,3.0,484.3
2018-06-7 22.5時,71.7,3.0,261.0
2018-06-7 23.0時,88.3,3.0,32.0
2018-06-7 23.5時,80.3,3.0,27.0
2018-06-7 23.75時,73.0,3.0,54.0
2018-06-8 0.5時,84.3,3.0,31.0
2018-06-8 0.75時,78.7,2.7,0.0
2018-06-8 1.0時,67.0,2.3,0.0
2018-06-8 1.25時,74.3,2.0,0.0
2018-06-8 1.5時,64.7,2.0,0.0
2018-06-8 1.75時,64.0,2.0,0.0
2018-06-8 2.0時,66.3,1.7,0.0
2018-06-8 2.25時,67.0,1.0,0.0
2018-06-8 2.5時,64.0,1.3,0.0
2018-06-8 2.75時,69.3,1.3,0.0
2018-06-8 3.0時,65.3,2.0,0.0
2018-06-8 3.25時,64.3,1.3,0.0
2018-06-8 3.5時,66.0,1.3,0.0
2018-06-8 3.75時,63.3,2.3,0.0
2018-06-8 4.0時,65.7,1.7,0.0
2018-06-8 4.25時,68.3,1.0,0.0
2018-06-8 4.5時,66.3,1.3,0.0
2018-06-8 4.75時,66.7,2.3,4.0
2018-06-8 5.0時,69.7,2.0,0.0
2018-06-8 5.25時,64.0,2.0,0.0
2018-06-8 5.5時,79.0,2.3,0.0
2018-06-8 6.5時,76.0,3.0,122.0
2018-06-8 6.75時,97.3,3.0,114.5
2018-06-8 7.0時,102.0,3.0,62.5
2018-06-8 7.25時,86.3,3.0,310.3
2018-06-8 7.5時,82.3,3.0,333.7
2018-06-8 7.75時,82.7,3.0,365.3
2018-06-8 8.0時,79.5,3.0,130.3
2018-06-9 21.5時,88.0,3.0,285.5
2018-06-9 22.0時,95.3,3.0,307.3
2018-06-9 22.25時,98.7,3.0,135.0
2018-06-9 22.5時,94.7,3.0,138.5
2018-06-9 22.75時,91.3,3.0,133.3
2018-06-9 23.25時,94.0,3.0,49.0
2018-06-9 23.75時,88.0,2.3,0.0
2018-06-10 0.0時,86.0,1.3,0.0
2018-06-10 0.25時,86.7,1.0,0.0
2018-06-10 0.5時,83.0,1.0,0.0
2018-06-10 0.75時,83.3,1.3,0.0
2018-06-10 1.0時,83.0,2.0,0.0
2018-06-10 1.25時,82.3,2.0,0.0
2018-06-10 1.5時,82.3,2.0,0.0
2018-06-10 1.75時,83.7,1.3,0.0
2018-06-10 2.0時,83.0,1.0,0.0
2018-06-10 2.25時,82.0,1.3,0.0
2018-06-10 2.5時,79.3,2.0,0.0
2018-06-10 2.75時,81.7,2.0,0.0
2018-06-10 3.0時,87.0,2.3,0.0
2018-06-10 3.25時,78.0,2.0,0.0
2018-06-10 3.5時,75.7,2.0,0.0
2018-06-10 3.75時,78.0,1.7,0.0
2018-06-10 4.0時,81.3,1.0,0.0
2018-06-10 4.25時,82.3,1.3,0.0
2018-06-10 4.5時,80.3,2.0,0.0
2018-06-10 4.75時,80.3,2.0,10.0
2018-06-10 5.0時,78.7,2.3,0.0
2018-06-10 5.25時,80.0,2.0,0.0
2018-06-10 5.5時,83.0,2.3,0.0
2018-06-10 5.75時,79.7,2.0,0.0
2018-06-10 6.0時,75.3,2.0,0.0
